232,https://www.edx.org/course/documental-nuevas-tendencias-nuevos-uc3mx-pca-1x,DOCUMENTAL! Nuevas tendencias, nuevos formatos / DOCUMENTARY! New Trends, New Formats
234,https://www.edx.org/course/modeling-climate-change-uchicagox-ps280x,Modeling Climate Change
235,https://www.edx.org/course/nanophotonic-modeling-purduex-nano540x,Nanophotonic Modeling
236,https://www.edx.org/course/electronic-interfaces-bridging-physical-uc-berkeleyx-ee40lx-0,Electronic Interfaces: Bridging the Physical and Digital Worlds
237,https://www.edx.org/course/multimodal-learning-analytics-utarlingtonx-link-la-mmx,Multimodal Learning Analytics
238,https://www.edx.org/course/windows-10-features-mobile-workforce-microsoft-inf205x-3,Windows 10 Features for a Mobile Workforce: Managing and Maintaining Devices in the Enterprise
239,https://www.edx.org/course/embedded-systems-shape-world-utaustinx-ut-6-10x,Embedded Systems Course
240,https://www.edx.org/course/relativity-astrophysics-cornellx-astro2290x,Relativity and Astrophysics
241,https://www.edx.org/course/advancing-learning-through-evidence-bux-cirtl-2x-2,Advancing Learning Through Evidence-Based STEM Teaching
242,https://www.edx.org/course/organizing-evangelism-achieving-user-microsoft-cld226x-1,Organizing Evangelism and Achieving User Adoption
243,https://www.edx.org/course/fundamentals-red-hat-enterprise-linux-red-hat-rh066x,Fundamentals of Red Hat Enterprise Linux
244,https://www.edx.org/course/fundamentals-nanoelectronics-basic-purduex-nano520x,Fundamentals of Nanoelectronics: Basic Concepts
245,https://www.edx.org/course/preparing-ap-computer-science-exam-part-cooper-union-cs-1x,AP Computer Science A
247,https://www.edx.org/course/introduction-kubernetes-linuxfoundationx-lfs158x,Introduction to Kubernetes
248,https://www.edx.org/course/global-media-war-and-technology,Global Media, War, and Technology
249,https://www.edx.org/course/justice-harvardx-er22-1x-2,Justice
250,https://www.edx.org/course/making-biologic-medicines-patients-mitx-10-03x-1,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing
251,https://www.edx.org/course/europeana-space-creative-digital-kuleuvenx-eurospacex-0,Europeana Space: Creative with Digital Heritage
252,https://www.edx.org/course/introduction-to-devops-transforming-and-improving-operations,Introduction to DevOps: Transforming and Improving Operations
253,https://www.edx.org/course/introduction-html-javascript-microsoft-dev211-1x-3,Introduction to HTML and JavaScript
254,https://www.edx.org/course/data-analysis-take-it-max-delftx-ex101x-2,Data Analysis: Take It to the MAX()
256,https://www.edx.org/course/ux-research-scale-analytics-online-michiganx-ux508x,UX Research at Scale: Analytics and Online Experiments
257,https://www.edx.org/course/software-engineering-essentials-tumx-seecx-0,Software Engineering Essentials
259,https://www.edx.org/course/genomic-medicine-gets-personal-georgetownx-medx202-02x,Genomic Medicine Gets Personal
260,https://www.edx.org/course/energy-principles-renewable-energy-uqx-engy0x,Energy Principles and Renewable Energy
261,https://www.edx.org/course/robot-mechanics-control-part-ii-snux-snu446-345-2x,Robot Mechanics and Control, Part II
262,https://www.edx.org/course/iterative-innovation-process-mitx-3-086x,The Iterative Innovation Process
263,https://www.edx.org/course/embedded-systems-shape-world-multi-utaustinx-ut-6-20x,Embedded Systems Course
264,https://www.edx.org/course/project-risk-assessment-michiganx-fin402x,Project Risk Assessment
265,https://www.edx.org/course/industrial-biotechnology-delftx-ib01x-1,Industrial Biotechnology
266,https://www.edx.org/course/fundamentals-clinical-trials-harvardx-hsph-hms214x,Fundamentals of Clinical Trials
267,https://www.edx.org/course/making-government-work-in-hard-places,Making Government Work in Hard Places
268,https://www.edx.org/course/software-architect-code-building-digital-uc3mx-inf-1x,The Software Architect Code: Building the Digital World
269,https://www.edx.org/course/divine-comedy-dantes-journey-freedom-georgetownx-humx421-02x,The Divine Comedy: Dante's Journey to Freedom, Part 1
270,https://www.edx.org/course/fundamentals-nanoelectronics-part-b-purduex-nano521x,Fundamentals of Nanoelectronics, Part B: Quantum Transport
271,https://www.edx.org/course/ux-design-concept-wireframe-michiganx-ux505x,UX Design: From Concept to Wireframe
272,https://www.edx.org/course/big-data-capstone-project-adelaidex-datacapx,Big Data Capstone Project
273,https://www.edx.org/course/building-azure-skills-toolkit-microsoft-dev224x-0,Building Your Azure Skills Toolkit
274,https://www.edx.org/course/fundamentals-containers-kubernetes-red-hat-do081x,Fundamentals of Containers, Kubernetes, and Red Hat OpenShift
275,https://www.edx.org/course/global-marketing-strategy-thunderbirdx-tgm551x-1,Global Marketing Strategy
276,https://www.edx.org/course/communicating-global-context-thunderbirdx-tgm579x-2,Communicating in a Global Context
277,https://www.edx.org/course/design-thinking-fundamentals-ritx-think501x,Design Thinking Fundamentals
278,https://www.edx.org/course/statistical-thinking-data-science-columbiax-ds101x-1,Statistical Thinking for Data Science and Analytics
280,https://www.edx.org/course/design-thinking-prototyping-user-testing-ritx-think504x,Design Thinking: Prototyping and User Testing
281,https://www.edx.org/course/product-management-lean-agile-system-bux-qd503x-1,Product Management with Lean, Agile and System Design Thinking
282,https://www.edx.org/course/design-thinking-capstone-ritx-think525x,Design Thinking Capstone
283,https://www.edx.org/course/design-thinking-empathizing-understand-ritx-think502x,Design Thinking: Empathizing to Understand the Problem
284,https://www.edx.org/course/electric-and-conventional-vehicles,Electric and Conventional Vehicles
285,https://www.edx.org/course/platform-strategy-business-bux-qd505x-0,Platform Strategy for Business
286,https://www.edx.org/course/leading-digital-age-bux-qd502x-0,Leading in the Digital Age
287,https://www.edx.org/course/designing-experimentation-enhance-bux-qd601x,Designing for Experimentation to Enhance Digital Business Innovation
288,https://www.edx.org/course/project-management-engineering-projects-delftx-mep101x-1,Project Management of Engineering Projects: Preparing for Success!
289,https://www.edx.org/course/design-thinking-ideation-iteration-ritx-think503x,Design Thinking: Ideation, Iteration and Communication
290,https://www.edx.org/course/digital-transformation-strategy-bux-qd501x-1,Digital Transformation Strategy
291,https://www.edx.org/course/humanitarian-response-conflict-disaster-harvardx-ph558x-0,Humanitarian Response to Conflict and Disaster
292,https://www.edx.org/course/multi-target-tracking-for-automotive-systems,Multi-Object Tracking for Automotive Systems
